region	farm number	sample no.	sample date	opening pods date	Cut white beans 	drying start date	drying end date	moisture	awb number	date shipped	Result flavanols (%)	Results Cadmium deshelled beans (mg/kg)	Results Lead deshelled beans (mg/kg)	Results Lead shells (mg/kg)	Cadmium soil (mg/kg)	Soil ph	Violet	Slaty	Other
D	51.0	D.51.1	2016-08-04	2016-08-05		2016-08-05	2016-08-08	7.5	4071273360.0	2016-08-16	7.91	0.67	0.02	0.44	0.07	6.32			
D	51.0	D.51.2	2016-08-31	2016-09-01		2016-09-01	2016-09-05	5.0	4071423425.0	2016-09-07	7.78	0.46							
D	51.0	D.51.3	2016-10-05	2016-10-06		2016-10-06	2016-10-10	8.0	9237179092.0	2016-10-18	8.11	0.53			0.09	5.33			
D	51.0	D.51.4	2016-11-14	2016-11-15		2016-11-15	2016-11-17	8.0	1917178631.0	2016-11-24	8.12	0.861							
D	51.0	D.51.5	2016-12-07	2016-12-08		2016-12-08	2016-12-12	7.0	5247817271.0	2016-12-16	8.11	0.37							
D	51.0	D.51.6	2017-01-03	2017-01-04		2017-01-04	2017-01-09	7.5	9061209463.0	2017-01-11	8.4	0.56							
D	61.0	D.61.1	2016-09-07	2016-09-08		2016-09-08	2016-09-12	7.8	2653222051.0	2016-09-28	9.0	0.15			0.1	5.82			
D	61.0	D.61.2	2016-11-10	2016-11-11		2016-11-11	2016-11-14	7.0	3090417842.0	2016-11-18	7.9	1.2							
D	61.0	D.61.3	2016-12-05	2016-12-06		2016-12-06	2016-12-08	7.0	5247817271.0	2016-12-16	7.69	0.71			0.09	5.55			
D	61.0	D.61.4	2016-12-27	2016-12-28		2016-12-28	2016-12-30	6.8	9061209463.0	2017-01-11	8.4	1.0							
D	61.0	D.61.5	2017-01-18	2017-01-20		2017-01-20	2017-01-24	8.0	6868917801.0	2017-02-15	7.8	0.78							
D	63.0	D.63.1	2016-09-07	2016-09-08		2016-09-08	2016-09-12	7.5	4071471795.0	2016-09-21	6.64	0.83			0.07	5.36			
D	63.0	D.63.2	2016-10-04	2016-10-05		2016-10-05	2016-10-07	7.0	4006887872.0	2016-10-12	8.34	1.15							
D	63.0	D.63.3	2016-11-10	2016-11-11		2016-11-11	2016-11-14	6.5	3090417842.0	2016-11-18	7.7	1.8			0.122	4.42			
D	63.0	D.63.4	2016-12-05	2016-12-06		2016-12-06	2016-12-08	6.8	5247817271.0	2016-12-16	8.19	1.6							
D	63.0	D.63.5	2016-12-27	2016-12-28		2016-12-28	2016-12-30	7.0	9061209463.0	2017-01-11	8.31	1.4							
D	65.0	D.65.1	2016-09-07	2016-09-08		2016-09-08	2016-09-12	6.5	2653222051.0	2016-09-28	7.18	0.16			0.07	6.05			
D	65.0	D.65.2	2016-10-04	2016-10-05		2016-10-05	2016-10-07	7.5	4006887872.0	2016-10-12	8.35	0.99							
D	65.0	D.65.3	2016-11-10	2016-11-11		2016-11-11	2016-11-14	6.5	3090417842.0	2016-11-18	8.2	0.9			0.104	5.51			
D	65.0	D.65.4	2016-12-05	2016-12-06		2016-12-06	2016-12-08	7.0	5247817271.0	2016-12-16	7.7	1.2							
D	65.0	D.65.5	2016-12-27	2016-12-28		2016-12-28	2016-12-30	6.5	9061209463.0	2017-01-11	7.7	0.95							
D	65.0	D.65.6	2017-01-18	2017-01-20		2017-01-20	2017-01-24	8.0	6868917801.0	2017-02-15	8.7	0.98							
D	67.0	D.67.1	2016-09-13	2016-09-14		2016-09-14	2016-09-16	7.2	2653222051.0	2016-09-28	8.2	0.45			0.15	6.11			
D	67.0	D.67.2	2016-10-05	2016-10-06		2016-10-06	2016-10-10	8.0	4006887872.0	2016-10-12	7.6	2.8							
D	67.0	D.67.3	2016-11-10	2016-11-11		2016-11-11	2016-11-14	6.5	3090417842.0	2016-11-18	8.0	0.51							
D	67.0	D.67.4	2016-12-08	2016-12-09		2016-12-09	2016-12-12	8.0	9239998445.0	2016-12-23	8.1	2.5							
D	67.0	D.67.5	2016-12-29	2016-12-30		2016-12-30	2016-01-03	7.5	9061209463.0	2017-01-11	7.5	2.7							
D	67.0	D.67.6	2017-01-18	2017-01-20		2017-01-20	2017-01-24	7.0	6868917801.0	2017-02-15	6.5	1.8							
D	69.0	D.69.1	2016-10-05	2016-10-06		2016-10-06	2016-10-10	7.5	9237179092.0	2016-10-18	8.12	0.29							
D	69.0	D.69.2	2016-12-06	2016-12-07		2016-12-07	2016-12-09	8.0	5247817271.0	2016-12-16	7.49	0.29			0.08	5.74			
D	69.0	D.69.3	2016-12-29	2016-12-30		2016-12-30	2016-01-03	6.6	9061209463.0	2017-01-11	7.4	0.57							
D	69.0	D.69.4	2017-01-18	2017-01-20		2017-01-20	2017-01-24	7.5	6868917801.0	2017-02-15	7.29	0.28							
D	71.0	D.71.1	2016-09-13	2016-09-14		2016-09-14	2016-09-16	8.0	2653222051.0	2016-09-28	7.9	0.42			0.09	5.89			
D	71.0	D.71.2	2016-10-04	2016-10-05		2016-10-05	2016-10-07	8.0	4006887872.0	2016-10-12	7.69	0.95							
D	71.0	D.71.3	2016-11-10	2016-11-11		2016-11-11	2016-11-14	6.5	3090417842.0	2016-11-18	7.8	1.0			0.114	4.61			
D	71.0	D.71.4	2016-12-05	2016-12-06		2016-12-06	2016-12-08	7.0	5247817271.0	2016-12-16	8.5	1.1							
D	71.0	D.71.5	2016-12-29	2016-12-30		2016-12-30	2016-01-03	7.8	9061209463.0	2017-01-11	8.1	1.5							
D	91.0	D.91.1	2016-12-06	2016-12-07		2016-12-07	2016-12-09	7.5	5247817271.0	2016-12-16	8.2	2.1							
D	91.0	D.91.2	2016-12-29	2016-12-30		2016-12-20	2016-01-03	7.5	2709727086.0	2017-01-06	7.59	2.0							
D	93.0	D.93.1	2016-12-08	2016-12-09		2016-12-09	2016-12-12	8.0	5247817271.0	2016-12-16	7.78	1.11			0.11	4.96			
D	93.0	D.93.2	2016-12-27	2016-12-28		2016-12-28	2016-12-30	7.0	9061209463.0	2017-01-11	7.0	1.1							
D	99.0	D.99.1	2017-01-05	2017-01-06		2017-01-06	2017-01-10	6.5	3794649563.0	2017-01-20	7.81	0.6							
D	101.0	D.101.1	2017-01-05	2017-01-06		2017-01-06	2017-01-10	8	3794649563.0	2017-01-20	7.8	0.48							
D	105.0	D.105.1	2017-01-18	2017-01-20		2017-01-20	2017-01-24	7.5	6868917801.0	2017-02-15	7.301	0.65							
E	2.0	E.2.1	2016-07-18	2016-07-20	0.0	2016-07-20	2016-07-21	6.1	2014215210.0	2016-07-28	5.52	0.61	0.04	0.42	0.05				
E	2.0	E.2.2	2016-08-16	2016-08-17		2016-08-17	2016-08-22	6.6	4071339392.0	2016-08-25	6.61	0.64	0.02	0.22					
E	2.0	E.2.3	2016-10-12	2016-10-14		2016-10-14	2016-10-18	7.5	5551207200.0	2016-10-28	7.62	0.77							
E	2.0	E.2.4	2016-11-07	2016-11-09		2016-11-09	2016-11-11	7.6	3090417842.0	2016-11-18	9.2	2.3			0.092	4.71			
E	2.0	E.2.5	2016-12-06	2016-12-07		2016-12-07	2016-12-08	8.0	5247817271.0	2016-12-16	7.5	0.43							
E	2.0	E.2.6	2017-01-03	2017-01-04		2017-01-04	2017-01-09	7.5	3794649563.0	2017-01-20	9.0	0.62							
E	4.0	E.4.1	2016-07-18	2016-07-20	0.0	2016-07-21	2016-07-23	6.0	2014215210.0	2016-07-28	6.73	0.55	0.03	0.38	0.05				
E	4.0	E.4.2	2016-08-16	2016-08-17		2016-08-17	2016-08-22	6.0	4071339392.0	2016-08-25	8.18	0.33	0.02	0.2					
E	4.0	E.4.3	2016-09-26	2016-09-28		2016-09-28	2016-09-30	7.2	2261972742.0	2016-10-07	7.5	0.21							
E	4.0	E.4.4	2016-10-25	2016-10-26		2016-10-26	2016-10-27	7.5	3048134471.0	2016-11-09	7.52	0.16			0.072	5.05			
E	4.0	E.4.5	2016-11-22	2016-11-23		2016-11-23	2016-11-25	6.5	5520094753.0	2016-11-30	8.4	0.21							
E	4.0	E.4.6	2016-12-22	2016-12-23		2016-12-23	2016-12-27	7.6	2709727086.0	2017-01-06	8.7	0.17							
E	4.0	E.4.7	2017-01-19	2017-01-20		2017-01-20	2017-01-24	8.0	6868917801.0	2017-02-15	8.0	0.27							
E	4.0	E.4.8	2017-02-13	2017-02-15		2017-02-15	2017-02-20	7.0	3006500162.0	2017-03-03	6.7	0.21							
E	4.0	E.4.9	2017-03-01	2017-03-03		2017-03-03	2017-03-08	8.0	5483672482.0	2017-03-10	7.7	0.29							
E	4.0	E.4.10	2017-03-14	2017-03-15		2017-03-15	2017-03-20	6.6	6661436143.0	2017-03-24	8.2	0.18							
E	4.0	E.4.11	2017-03-28	2017-03-30		2017-03-30	2017-04-04	6.6	4089202681.0	2017-04-07	7.81	0.39							
E	4.0	E.4.12	2017-04-12	2017-04-13		2017-04-13	2017-04-19	7.5	1646858861.0	2017-04-21	7.1	0.3							
E	6.0	E.6.1	2016-07-18	2016-07-20	0.0	2016-07-20	2016-07-22	6.1	2014215210.0	2016-07-28	6.67	0.4	0.02	0.32	0.05				
E	6.0	E.6.2	2016-08-16	2016-08-17		2016-08-17	2016-08-22	6.0	4071339392.0	2016-08-25	7.25	0.5	0.02	0.22					
E	6.0	E.6.3	2016-09-26	2016-09-28		2016-09-28	2016-09-30	7.5	2261972742.0	2016-10-07	7.9	0.35							
E	6.0	E.6.4	2016-10-25	2016-10-26		2016-10-26	2016-10-27	7.5	3048134471.0	2016-11-09	7.7	0.26			0.056	5.65			
E	6.0	E.6.5	2016-11-22	2016-11-23		2016-11-23	2016-11-25	6.5	5520094753.0	2016-11-30	8.79	0.48							
E	6.0	E.6.6	2016-12-22	2016-12-23		2016-12-23	2016-12-27	6.5	2709727086.0	2017-01-06	8.81	0.39							
E	6.0	E.6.7	2017-01-19	2017-01-20		2017-01-20	2017-01-24	8.0	6868917801.0	2017-02-15	7.4	0.37							
E	6.0	E.6.8	2017-02-13	2017-02-15		2017-02-15	2017-02-20	6.8	3006500162.0	2017-03-03	7.1	0.36							
E	6.0	E.6.9	2017-03-01	2017-03-03		2017-03-03	2017-03-08	8.0	5483672482.0	2017-03-10	8.2	0.24							
E	6.0	E.6.10	2017-03-14	2017-03-15		2017-03-15	2017-03-20	7.4	6661436143.0	2017-03-24	7.5	0.46							
E	6.0	E.6.11	2017-03-28	2017-03-30		2017-03-30	2017-04-04	6.6	4089202681.0	2017-04-07	7.79	0.37							
E	6.0	E.6.12	2017-04-12	2017-04-13		2017-04-13	2017-04-19	7.5	1646858861.0	2017-04-21	7.7	0.431							
E	8.0	E.8.1	2016-07-19	2016-07-21	0.0	2016-07-21	2016-07-22	6.1	2014215210.0	2016-07-28	6.88	0.56	0.03	0.56	0.05				
E	8.0	E.8.2	2016-08-09	2016-08-11		2016-08-11	2016-08-15	6.1	4071273360.0	2016-08-16	5.78	0.55	0.02	0.19					
E	8.0	E.8.3	2016-09-22	2016-09-23		2016-09-23	2016-09-27	7.4	4089568943.0	2016-10-03	7.0	0.39							
E	8.0	E.8.4	2016-10-18	2016-10-19		2016-10-19	2016-10-21	6.0	5551207200.0	2016-10-28	7.21	0.31			0.095	5.86			
E	8.0	E.8.5	2016-11-15	2016-11-16		2016-11-16	2016-11-18	8.0	1917178631.0	2016-11-24	7.4	0.251							
E	8.0	E.8.6	2016-12-15	2016-12-16		2016-12-16	2016-12-20	8.0	3358900134.0	2016-12-30	7.99	1.29							
E	8.0	E.8.7	2017-01-09	2017-01-11		2017-01-11	2017-01-14	6.6	9927933016.0	2017-02-03	7.91	0.44							
E	8.0	E.8.8	2017-04-18	2017-04-19		2017-04-19	2017-04-24	7.5	6014077086.0	2017-05-05	7.1	0.5							
E	10.0	E.10.1	2016-07-27	2016-07-29	2.0	2016-07-29	2016-08-01	6.2	6575808971.0	2016-08-03	5.32	0.3	0.02	0.27	0.18	6.82			
E	10.0	E.10.2	2016-08-23	2016-08-25		2016-08-25	2016-08-29	6.0	4071385710.0	2016-09-01	7.62	0.22							
E	10.0	E.10.3	2016-09-29	2016-09-30		2016-09-30	2016-10-04	7.0	2261972742.0	2016-10-07	8.4	0.4							
E	10.0	E.10.4	2016-10-27	2016-10-28		2016-10-28	2016-10-31	7.5	3048134471.0	2016-11-09	7.1	0.35			0.073	5.73			
E	10.0	E.10.5	2016-11-28	2016-11-29		2016-11-29	2016-12-02	6.0	4914911142.0	2016-12-07	8.21	0.4							
E	10.0	E.10.6	2017-01-30	2017-02-01		2017-02-01	2017-02-06	7.5	2493072175.0	2017-02-22	7.2	0.21							
E	12.0	E.12.1	2016-07-27	2016-07-29	1.0	2016-07-29	2016-08-01	5.5	6575808971.0	2016-08-06	6.85	0.27	0.02	0.28	0.14	6.42			
E	12.0	E.12.2	2016-08-23	2016-08-25		2016-08-25	2016-08-29	5.8	4071385710.0	2016-09-05	7.63	0.19							
E	14.0	E.14.1	2016-07-27	2016-07-20	1.0	2016-07-29	2016-08-01	7.0	6575808971.0	2016-08-03	6.78	0.31	0.02	0.47	0.21	6.23			
E	14.0	E.14.2	2016-08-23	2016-08-25		2016-08-25	2016-08-29	6.5	4071385710.0	2016-09-05	7.08	0.26							
E	14.0	E.14.3	2016-09-26	2016-09-28		2016-09-28	2016-09-30	7.0	2261972742.0	2016-10-07	7.2	0.24							
E	14.0	E.14.4	2016-10-25	2016-10-26		2016-10-26	2016-10-27	7.0	3048134471.0	2016-11-09	6.6	0.24			0.052	5.47			
E	14.0	E.14.5	2016-11-22	2016-11-23		2016-11-23	2016-11-25	6.5	4914911142.0	2016-12-07	7.59	0.22							
E	14.0	E.14.6	2016-12-22	2016-12-23		2016-12-23	2016-12-27	7.0	2709727086.0	2017-01-06	8.0	0.27							
E	14.0	E.14.7	2017-01-19	2017-01-20		2017-01-20	2017-01-24	8.0	6868917801.0	2017-02-15	6.9	0.26							
E	14.0	E.14.8	2017-02-13	2017-02-15		2017-02-15	2017-02-20	7.0	3006500162.0	2017-03-03	7.0	0.361							
E	14.0	E.14.9	2017-03-01	2017-03-03		2017-03-03	2017-03-08	7.6	7570715110.0	2017-03-17	6.4	0.239							
E	14.0	E.14.10	2017-03-14	2017-03-15		2017-03-15	2017-03-20	6.2	6661436143.0	2017-03-24	7.3	0.3							
E	14.0	E.14.11	2017-03-28	2017-03-30		2017-03-30	2017-04-04	6.6	4089202681.0	2017-04-07	8.31	0.3							
E	14.0	E.14.12	2017-04-12	2017-04-13		2017-04-13	2017-04-19	7.5	1646858861.0	2017-04-21	7.4	0.26							
E	16.0	E.16.1	2016-07-27	2016-07-29		2016-07-29	2016-08-02	5.0	6575808971.0	2016-08-02	7.1	0.35	0.02	0.37	0.16	6.61			
E	16.0	E.16.2	2016-08-23	2016-08-25		2016-08-25	2016-08-29	5.8	4071385710.0	2016-09-05	7.12	0.28							
E	16.0	E.16.3	2016-10-18	2016-10-19		2016-10-19	2016-10-21	7.0	5551207200.0	2016-10-28	7.29	0.22							
E	16.0	E.16.4	2016-11-15	2016-11-16		2016-11-16	2016-11-18	7.0	5520094753.0	2016-11-30	8.3	0.14			0.07	6.9			
E	18.0	E.18.1	2016-07-27	2016-07-29		2016-07-29	2016-08-02	5.8	6575808971.0	2016-08-03	7.05	0.79	0.02	0.36	0.17	6.08			
E	18.0	E.18.2	2016-08-23	2016-08-25		2016-08-25	2016-08-29	6.0	4071385710.0	2016-09-05	7.48	0.67							
E	18.0	E.18.3	2016-09-27	2016-09-28		2016-09-28	2016-09-30	8.0	2261972742.0	2016-10-07	7.4	0.93			0.088	4.6			
E	18.0	E.18.4	2016-10-31	2016-11-01		2016-11-01	2016-11-07	6.5	3048134471.0	2016-11-09	6.9	0.41							
E	18.0	E.18.5	2016-12-05	2016-12-07		2016-12-07	2016-12-09	6.6	5247817271.0	2016-12-16	8.31	0.75							
E	18.0	E.18.6	2017-01-03	2017-01-04		2017-01-04	2017-01-09	7.5	9061209463.0	2017-01-11	7.6	0.7							
E	20.0	E.20.1	2016-08-03	2016-08-05		2016-08-05	2016-08-08	6.6	4071273360.0	2016-08-16	6.33	0.37	0.02	0.4	0.14	6.37			
E	20.0	E.20.2	2016-08-29	2016-08-31		2016-08-31	2016-09-02	7.0	4071423425.0	2016-09-07	5.5	3.0							
E	20.0	E.20.3	2016-10-18	2016-10-19		2016-10-19	2016-10-21	6.6	5551207200.0	2016-10-28	7.31	2.4							
E	20.0	E.20.4	2016-11-28	2016-11-29		2016-11-29	2016-12-02	6.5	4914911142.0	2016-12-07	8.3	3.7		0.08	5.15				
E	20.0	E.20.5	2016-12-27	2016-12-28		2016-12-28	2016-12-30	6.4	9061209463.0	2017-01-11	5.6	2.4							
E	20.0	E.20.6	2017-01-23	2017-01-25		2017-01-25	2017-01-30	7.0	6868917801.0	2017-02-15	7.8	3.1							
E	22.0	E.22.1	2016-08-03	2016-08-05		2016-08-05	2016-08-08	6.0	4071273360.0	2016-08-16	6.21	2.0	0.02	0.36	0.1	5.87			
E	22.0	E.22.2	2016-09-22	2016-09-23		2016-09-23	2016-09-27	7.2	2261972742.0	2016-10-07	7.8	0.43							
E	22.0	E.22.3	2016-11-15	2016-11-16		2016-11-16	2016-11-18	7.0	1917178631.0	2016-11-24	7.6	0.47							
E	22.0	E.22.4	2016-12-20	2016-12-21		2016-12-21	2016-12-23	6.5	2709727086.0	2017-01-06	7.8	0.35							
E	24.0	E.24.1	2016-08-03	2016-08-05		2016-08-05	2016-08-08	5.5	4071273360.0	2016-08-16	5.3	0.3	0.02	0.39	0.05	6.33			
E	24.0	E.24.2	2016-08-29	2016-08-31		2016-08-31	2016-09-02	6.7	4071423425.0	2016-09-07	6.35	0.24							
E	24.0	E.24.3	2016-10-24	2016-10-26		2016-10-26	2016-10-27	6.5	3048134471.0	2016-11-09	7.61	0.15							
E	24.0	E.24.4	2016-11-21	2016-11-23		2016-11-23	2016-11-25	6.0	5520094753.0	2016-11-30	8.3	0.17			0.1	6.07			
E	24.0	E.24.5	2016-12-19	2016-12-21		2016-12-21	2016-12-23	6.5	2709727086.0	2017-01-06	7.71	0.18							
E	24.0	E.24.6	2017-01-10	2017-01-11		2017-01-11	2017-01-14	6.0	9927933020.0	2017-02-03	7.29	0.26							
E	26.0	E.26.1	2016-08-04	2016-08-05		2016-08-05	2016-08-08	6.5	4071273360.0	2016-08-16	6.67	0.74	0.02	0.76	0.07	6.78			
E	26.0	E.26.2	2016-08-29	2016-08-31		2016-08-31	2016-09-02	6.5	4071423425.0	2016-09-07	5.01	0.65							
E	26.0	E.26.3	2016-10-10	2016-10-12		2016-10-12	2016-10-14	7.2	9237179092.0	2016-10-18	7.8	0.78							
E	26.0	E.26.4	2016-11-17	2016-11-18		2016-11-18	2016-11-22	7.0	5520094753.0	2016-11-30	7.8	0.57			0.11	5.78			
E	26.0	E.26.5	2016-12-19	2016-12-21		2016-12-21	2016-12-23	6.0	2709727086.0	2017-01-06	7.0	0.53							
E	26.0	E.26.6	2017-01-17	2017-01-19		2017-01-19	2017-01-23	7.5	6868917801.0	2017-02-15	5.9	0.79							
E	28.0	E.28.1	2016-08-04	2016-08-05		2016-08-05	2016-08-08	6.2	4071273360.0	2016-08-16	5.39	0.38	0.02	0.46	0.11	6.77			
E	30.0	E.30.1	2016-08-09	2016-08-11		2016-08-11	2016-08-15	5.7	4071273360.0	2016-08-16	6.85	0.57	0.02	0.27	0.12	6.56			
E	30.0	E.30.2	2016-09-05	2016-09-07		2016-09-07	2016-09-09	6.4	4071520051.0	2016-09-21	7.5	0.54							
E	30.0	E.30.3	2016-09-22	2016-09-23		2016-09-23	2016-09-27	7.5	2261972742.0	2016-10-07	7.6	0.54							
E	30.0	E.30.4	2016-10-18	2016-10-19		2016-10-19	2016-10-21	6.5	5551207200.0	2016-10-28	7.69	0.56			0.065	4.91			
E	30.0	E.30.5	2016-11-15	2016-11-16		2016-11-16	2016-11-18	8.0	1917178631.0	2016-11-24	8.09	0.65							
E	30.0	E.30.6	2016-12-15	2016-12-16		2016-12-16	2016-12-20	7.4	9239998445.0	2016-12-23	8.39	0.22							
E	30.0	E.30.7	2017-01-09	2017-01-11		2017-01-11	2017-01-14	7.5	9927933017.0	2017-02-03	7.3	0.65							
E	32.0	E.32.1	2016-08-09	2016-08-11		2016-08-11	2016-08-15	6.5	4071273360.0	2016-08-16	6.14	0.72	0.02	0.17	0.06	6.2			
E	32.0	E.32.2	2016-09-05	2016-09-07		2016-09-07	2016-09-09	6.2	4071520051.0	2016-09-21	7.19	0.65							
E	32.0	E.32.3	2016-09-22	2016-09-23		2016-09-23	2016-09-27	7.0	2261972742.0	2016-10-07	8.1	0.53							
E	32.0	E.32.4	2016-10-18	2016-10-19		2016-10-19	2016-10-21	6.2	5551207200.0	2016-10-28	8.21	0.47			0.1	5.09			
E	32.0	E.32.5	2016-11-15	2016-11-16		2016-11-16	2016-11-18	7.5	1917178631.0	2016-11-24	8.31	0.64							
E	32.0	E.32.6	2016-12-15	2016-12-16		2016-12-16	2016-12-20	7.4	9239998445.0	2016-12-23	8.81	0.64							
E	32.0	E.32.7	2017-01-09	2017-01-11		2017-01-11	2017-01-14	7.0	9927933018.0	2017-02-03	7.82	0.53							
E	34.0	E.34.1	2016-08-09	2016-08-11		2016-08-11	2016-08-15	7.5	4071273360.0	2016-08-16	7.66	0.59	0.02	0.32	0.1	6.38			
E	34.0	E.34.2	2016-09-05	2016-09-07		2016-09-07	2016-09-09	8.0	4071520051.0	2016-09-21	6.5	0.34							
E	36.0	E.36.1	2016-08-10	2016-08-11		2016-08-11	2016-08-15	5.5	4071273360.0	2016-08-16	6.95	0.56	0.02	0.17	0.14	6.3			
E	36.0	E.36.2	2016-09-05	2016-09-07		2016-09-07	2016-09-09	7.2	4071520051.0	2016-09-21	5.55	0.47							
E	36.0	E.36.3	2016-10-17	2016-10-19		2016-10-19	2016-10-21	6.5	5551207200.0	2016-10-28	8.0	0.45							
E	36.0	E.36.4	2016-11-17	2016-11-18		2016-11-18	2016-11-22	7.0	5520094753.0	2016-11-30	8.2	0.76			0.18	6.28			
E	36.0	E.36.5	2016-12-19	2016-12-21		2016-12-21	2016-12-23	6.0	2709727086.0	2017-01-06	7.69	0.36							
E	36.0	E.36.6	2017-01-24	2017-01-26		2017-01-26	2017-01-30	6.5	6868917801.0	2017-02-15	8.2	0.3							
E	38.0	E.38.1	2016-08-10	2016-08-11		2016-08-11	2016-08-15	5.6	4071273360.0	2016-08-16	8.07	0.97	0.02	0.17	0.08	6.36			
E	38.0	E.38.2	2016-10-20	2016-10-21		2016-10-21	2016-10-24	6.0	5551207200.0	2016-10-28	7.4	0.51		 					
E	38.0	E.38.3	2016-11-17	2016-11-18		2016-11-18	2016-11-22	7.5	1917178631.0	2016-11-24	8.19	0.38							
E	40.0	E.40.1	2016-08-18	2016-08-19		2016-08-19	2016-08-22	6.7	4071339392.0	2016-08-25	6.86	0.44	0.02	0.15	0.04	6.9			
E	40.0	E.40.2	2016-10-11	2016-10-12		2016-10-12	2016-10-14	6.8	2891297791.0	2016-10-21	7.7	0.23							
E	42.0	E.42.1	2016-08-18	2016-08-19		2016-08-19	2016-08-22	6.2	4071339392.0	2016-08-25	6.21	0.31	0.02	0.18	0.03	6.31			
E	44.0	E.44.1	2016-08-18	2016-08-19		2016-08-19	2016-08-22	6.6	4071339392.0	2016-08-25	6.76	0.39	0.02	0.15	0.05	6.47			
E	44.0	E.44.2	2016-10-10	2016-10-12		2016-10-12	2016-10-14	7.5	9237179092.0	2016-10-18	7.6	0.245							
E	44.0	E.44.3	2016-11-07	2016-11-09		2016-11-09	2016-11-11	8.0	3090417842.0	2016-11-18	8.9	0.46							
E	44.0	E.44.4	2016-12-08	2016-12-09		2016-12-09	2016-12-13	7.8	9239998445.0	2016-12-23	7.8	0.46			0.11	6.53			
E	44.0	E.44.5	2017-01-10	2017-01-11		2017-01-11	2017-01-14	7.0	9927933021.0	2017-02-03	7.92	0.41							
E	46.0	E.46.1	2016-08-18	2016-08-19		2016-08-19	2016-08-22	6.5	4071339392.0	2016-08-25	6.36	0.4	0.02	0.14	0.02	6.19			
E	48.0	E.48.1	2016-08-24	2016-08-25		2016-08-25	2016-08-29	6.0	4071385710.0	2016-09-05	7.02	0.83			0.02	6.23			
E	48.0	E.48.2	2016-09-29	2016-09-30		2016-09-30	2016-10-04	6.5	2261972742.0	2016-10-07	8.7	0.95							
E	48.0	E.48.3	2016-10-31	2016-11-01		2016-11-01	2016-11-07	6.0	3048134471.0	2016-11-09	6.6	0.57							
E	48.0	E.48.4	2016-11-29	2016-11-30		2016-11-30	2016-12-02	7.0	4914911142.0	2016-12-07	8.39	1.0			0.12	5.38			
E	48.0	E.48.5	2016-12-22	2016-12-23		2016-12-23	2016-12-27	6.5	2709727086.0	2017-01-06	8.5	1.7							
E	48.0	E.48.6	2017-01-17	2017-01-19		2017-01-19	2017-01-23	7.6	6868917801.0	2017-02-15	7.31	1.6							
E	50.0	E.50.1	2016-08-24	2016-08-25		2016-08-25	2016-08-29	5.5	4071385710.0	2016-09-05	6.15	0.61			0.02	5.86			
E	50.0	E.50.2	2016-09-29	2016-09-30		2016-09-30	2016-10-04	6.0	2261972742.0	2016-10-07	9.0	0.69							
E	50.0	E.50.3	2016-10-31	2016-11-01		2016-11-01	2016-11-07	6.0	3048134471.0	2016-11-09	7.0	1.0							
E	50.0	E.50.4	2016-11-29	2016-11-30		2016-11-30	2016-12-02	6.5	4914911142.0	2016-12-07	7.6	0.7			0.07	5.07			
E	50.0	E.50.5	2016-12-29	2016-12-30		2016-12-20	2016-01-03	6.5	2709727086.0	2017-01-06	6.4	0.84							
E	50.0	E.50.6	2017-01-25	2017-01-26		2017-01-26	2017-01-30	8.0	6868917801.0	2017-02-15	7.3	0.94							
E	52.0	E.52.1	2016-08-29	2016-08-31		2016-08-31	2016-09-02	6.2	4071423425.0	2016-09-07	7.6	0.35			0.02	6.68			
E	52.0	E.52.2	2016-09-27	2016-09-28		2016-09-28	2016-09-30	6.5	2261972742.0	2016-10-07	7.7	0.99							
E	52.0	E.52.3	2016-10-24	2016-10-26		2016-10-26	2016-10-27	7.8	3048134471.0	2016-11-09	7.89	0.33							
E	52.0	E.52.4	2016-11-21	2016-11-23		2016-11-23	2016-11-25	7.0	5520094753.0	2016-11-30	7.9	0.301			0.12	5.58			
E	52.0	E.52.5	2016-12-20	2016-12-21		2016-12-21	2016-12-23	6.2	2709727086.0	2017-01-06	8.11	0.45							
E	52.0	E.52.6	2017-01-17	2017-01-19		2017-01-19	2017-01-23	7.5	6868917801.0	2017-02-15	7.401	0.4							
E	54.0	E.54.1	2016-08-30	2016-08-31		2016-08-31	2016-09-02	6.7	4071423425.0	2016-09-07	7.3	0.36			0.02	6.46			
E	54.0	E.54.2	2016-09-27	2016-09-28		2016-09-28	2016-09-30	7.0	2261972742.0	2016-10-07	8.5	0.25							
E	56.0	E.56.1	2016-08-30	2016-08-31		2016-08-31	2016-09-02	6.5	4071423425.0	2016-09-07	7.32	0.56			0.02	6.29			
E	56.0	E.56.2	2016-09-29	2016-09-30		2016-09-30	2016-10-04	8.0	2261972742.0	2016-10-07	8.1	0.28							
E	56.0	E.56.3	2016-10-24	2016-10-26		2016-10-26	2016-10-27	7.5	3048134471.0	2016-11-09	7.59	0.471							
E	58.0	E.58.1	2016-08-30	2016-08-31		2016-08-31	2016-09-02	6.3	4071423425.0	2016-09-07	7.03	0.16			0.03	6.21			
E	58.0	E.58.2	2016-10-03	2016-10-05		2016-10-05	2016-10-10	8.0	4006887872.0	2012-10-12	7.38	0.15							
E	58.0	E.58.3	2016-10-25	2016-10-26		2016-10-26	2016-10-27	7.0	3048134471.0	2016-11-09	7.3	0.04							
E	58.0	E.58.4	2016-11-29	2016-11-30		2016-11-30	2016-12-02	7.0	4914911142.0	2016-12-07	8.69	0.5							
